"LEA_STATE","NMCNTY","total_ct_enr","total_ct_gt_enr","group_enr_ct","group_gt_enr_ct","group_missing_count_lower","group_missing_count_upper","group_missing_perc_lower","group_missing_perc_upper","group","year","region","state_perc_gt","state_nonT1_perc_gt"
"CA","San Luis Obispo County",34701,1234,176,9,4,6,0.307692307692308,0.4,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","San Mateo County",94157,3190,162,2,8,12,0.8,0.857142857142857,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Santa Barbara County",70716,4762,264,11,5,11,0.3125,0.5,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Santa Clara County",272808,4689,903,13,42,64,0.763636363636364,0.831168831168831,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Santa Cruz County",38853,1872,136,8,6,8,0.428571428571429,0.5,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Shasta County",25897,1921,1102,47,52,72,0.525252525252525,0.605042016806723,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Sierra County",410,0,7,0,0,1,NA,1,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Siskiyou County",6334,92,535,0,32,46,1,1,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Solano County",64850,3511,337,24,5,7,0.172413793103448,0.225806451612903,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Sonoma County",68490,2150,604,7,30,44,0.810810810810811,0.862745098039216,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Stanislaus County",112510,6359,671,30,17,26,0.361702127659574,0.464285714285714,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Sutter County",22560,617,190,5,7,11,0.583333333333333,0.6875,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Tehama County",10941,0,273,0,17,23,1,1,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Trinity County",1424,25,107,0,6,9,1,1,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Tulare County",105179,1402,785,9,39,57,0.8125,0.863636363636364,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Tuolumne County",5726,130,173,3,7,12,0.7,0.8,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Ventura County",149895,8687,543,23,17,23,0.425,0.5,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Yolo County",31347,2573,185,16,4,6,0.2,0.272727272727273,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Yuba County",14385,290,313,6,13,20,0.684210526315789,0.769230769230769,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA",NA,19253,7,195,0,12,16,1,1,"AIAN",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Alameda County",228440,15199,69689,9015,1083,1499,0.107248960190137,0.142571809016549,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Alpine County",79,0,0,0,NA,NA,NA,NA,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Amador County",4190,166,47,1,2,3,0.666666666666667,0.75,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Butte County",31381,622,1948,61,75,104,0.551470588235294,0.63030303030303,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Calaveras County",5064,0,65,0,4,5,1,1,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Colusa County",4847,33,46,0,3,4,1,1,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Contra Costa County",178930,6777,30178,3038,536,742,0.149972020145495,0.196296296296296,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Del Norte County",4235,436,216,25,0,1,0,0.0384615384615385,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","El Dorado County",29332,470,1487,63,55,76,0.466101694915254,0.546762589928058,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Fresno County",207363,4884,19554,664,587,985,0.469224620303757,0.597331716191631,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Glenn County",5308,26,122,0,7,11,1,1,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Humboldt County",18248,591,703,24,19,35,0.441860465116279,0.593220338983051,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Imperial County",38580,1746,209,43,2,2,0.0444444444444444,0.0444444444444444,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Inyo County",2696,0,40,0,2,3,1,1,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Kern County",188462,10660,6549,1138,62,86,0.0516666666666667,0.0702614379084967,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Kings County",28930,86,636,14,29,41,0.674418604651163,0.745454545454545,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Lake County",9432,40,89,1,5,7,0.833333333333333,0.875,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Lassen County",3784,21,61,0,3,5,1,1,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Los Angeles County",1461399,115518,145421,22469,1473,2039,0.0615236822320608,0.0831973233229966,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Lyon County",151,0,2,0,0,0,NA,NA,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
